"review_id","business_id","user_id","stars","datetime","date","time","text","timestamp"
"d0KD9RwAmaqFn6BT-UkSIA","00cZ-qwff0qcsg9G5ZBoIg","CxDOIDnH8gp9KXzpBHJYXw","4","2013-10-15 21:12:15","2013-10-15","21:12:15","3.5 star

I just love little cafe.

Los Cafetaleros Coffee Roastery uses their own roasted beans making a wicked cortadito ($2.50), rich and aromatic. 

Americano ($2.25) single shot though a little weak, please let the barista know not to add too much water.

Love the armchairs facing College Street as my Yelp friend feels like one of those retired Portuguese men.

$10/lb for any beans till the end of October. And of course I could not resist a bargain.

The owner is passionate about coffee and knowledgeable about their beans and products.","2019-12-29 01:12:25.950277+00"
"-XhcJaeUqkYhtE3MKq0Cug","00NrWSvMkQhPGFoO_efv9Q","wXi-P691AGOdonMy1TrL7w","4","2009-11-29 03:55:21","2009-11-29","03:55:21","Pho So 1 is a bit of a hidden gem. It is located just a block down from the Asian mall on the corner of 16th and Centre, and is just off of Centre Street. The entrance to the place is actually located on the other side, in the parking lot! I was taken here my first time, otherwise I never would have found it.

It is small and dinky and more than a little wonderful. The service is good, the food is good, and the atmosphere which makes it feel almost like a cafeteria is a little refreshing. It feels authentic, which I like. 

I'm partial to their springrolls (which come cheap) and the giant crispy egg noodle dish that they have which is just delicious. I always end up splitting it or taking half of it home. The Pho is also tasty and delicious, and very slurpable. They use quality beef which I like.

When I was here recently, I decided to vary from the selection of sweet dessert like drinks that they had on order. The three bean soy drink is filling and delicious, the aloe drink refreshing, and the coke with real lime juice is very sweet. I just wanted water... with some lemon. After finally explaining sufficiently (it took a little while) to the gentleman who I think is the owner, I received my water... and beside it, a little dish with two limes! Haha, it was totally cute and endeared them to me forever.","2019-12-29 01:12:25.950277+00"
"LFUjp0jXlkW1w7euqOWhGg","00pYR20Rbt8c1r86UNlBJg","Y4PuxA3yRL-j02kDMhy1zQ","5","2015-12-02 00:44:32","2015-12-02","00:44:32","I drive past this cafe almost everyday, and I somehow never noticed it! My mom learned of the cafe through living social so we decided to dine here for lunch on a weekday.  We had a wonderful experience overall! The interior is very cute and the bar is beautiful. After a long time of deliberating because the entire menu looked delicious, we ordered our grilled portobello sandwiches and looked around in the cute little shop attached to the cafe while we were waiting for our food.  Before we knew it, our food was ready and the sandwiches did not disappoint! Although I loved what I ordered, next time I think I will have to try one of their salads.  They all sounded so fresh and tasty! Not only were the food, the service, and the atmosphere all on point, but the prices were also pretty reasonable for the quality.  I can't wait to try their dinner or brunch next!","2019-12-29 01:12:25.950277+00"
"BeaMb7cLGqbG6-5bf5vnRg","00pYR20Rbt8c1r86UNlBJg","myKVt2Hf-FhuEBuLMDztbA","4","2013-12-08 14:50:17","2013-12-08","14:50:17","I don't know how I managed to just visit this cafe for the firs time after having lived in Pittsburgh for four years, and having been a vegetarian for twenty. Nice to go out to eat and be able to choose from anything on the menu, rather than find the one vegetarian thing on the menu.

My husband had been here for lunch, but for some reason it just hadn't made it on to our dinner circuit yet. So glad we made it, because we'll definitely be frequent patrons now!

I have a hard time describing the decor inside, but it was perfect.... clean looking, modern paint and decor.... just a very nice ambiance, jazz playing, & nice lighting. We went in on a Saturday night around 5pm, and there was a table of six already there, and another couple came in later. I like that it was NOT loud, busy and crazy in this restaurant. So relaxing, and calm. 

Our waiter was friendly. I can agree with other reviews that said the service was slow, so I wouldn't go if you are in a rush. My husband said he went on lunch break once and was 45 minutes late getting back to work. The service wasn't that slow when we were there, but it definitely wasn't speedy. This isn't something I mind though. It was more of a chance to enjoy the environment, and spend time talking.

Our food was pretty amazing, and the portion sizes were big. We started baked brie. This was seasonally done, with cinnamon, clove and apple. This was my favorite part of the meal! So delish. For entrees, I had the perogie lasagna and my husband had the quiche. After such a large appetizer, I was only able to eat half of my entree but my husband still had room to devour his entire plate. Perogie lasagna was gooey, hot and definitly a winter comfort food.  I noticed on the menu online perogie lasagna isn't listed... so maybe they change things up slightly for the seasons? 

I think anyone could find something they like on the menu really. It's worth the drive if you want to find someplace new to eat. It's definitely worth checking out if you are already in the Waterfront and don't want to eat at a big chain restaurant.","2019-12-29 01:12:25.950277+00"
"gM441e2Hkb3jVSDCAMQGHA","00pYR20Rbt8c1r86UNlBJg","4y8cCGvCtfaNjsW-ZP3Urg","5","2013-07-22 22:42:24","2013-07-22","22:42:24","Amazing vegetarian cafe! Quite with a nice patio in the courtyard out back. It's a great place to take the kids for some delicate grilled cheeses, or your friends for a delicious dinner and drink. The owners of this, and the Annex Cookery, believe in the revitalization of their community of Homestead. --That right there is why you buy local, wherever your locale!","2019-12-29 01:12:25.950277+00"
"tOkalIyoG8b4kNRg7EpulA","00pYR20Rbt8c1r86UNlBJg","Rfy598B1ElBFv8uH4cVLJg","4","2012-01-07 17:12:12","2012-01-07","17:12:12","Stopped down for some breakfast - first time and definitely not the last.  I recently just stopped eating meat, so this was perfect.  There were so many delicious things to choose from on the menu.  I ordered the fried egg sandwich, which came on home made bread (light and crusty, delicious) with provolone and arugula and home fries (potatoes, a little spicy, but tasty).  My friend ordered the breakfast burrito which came stuffed with cheddar cheese, some type of chili and home fries.  She said that it was also a little spicy.  

Our check came with chocolate covered coffee beans, how cute.

Can't wait to go back for lunch or dinner! 

I agree with the other reviews, it does take a while before the food arrives.  There were only 2 other tables with people.  However, I think that goes with the feel of the cafe - more time to relax and shoot the breeze.","2019-12-29 01:12:25.950277+00"
"RYCEmOvp8DpbE8i2cNvcKw","00pYR20Rbt8c1r86UNlBJg","jCX6hXsHZh3Zv7puHeV0yg","5","2011-10-13 01:45:55","2011-10-13","01:45:55","This restaurant is an absolute gem - right in the middle of historic (albeit somewhat shop worn) Homestead.  The food is exceptional.  I travel extensively - all over the world actually - and what I have had at this restaurant is as good as I have had (indeed better) than many restaurants with long waiting lists for reservations and hype that extends a mile long.  The food is expertly seasoned, well presented and extraordinarily delicious.  Memorably delicious.

What's more, the family who owns this restaurant is expressing its values in placing this restaurant where it is, designing it as they have (using furniture and accessories from the area and from a by-gone time), and adding touches that typically are found in cafes located in New York, San Francisco, Boston, Chicago... (sorry,  not typically Pittsburgh).

Run do not walk to this restaurant and celebrate good food, a wonderful community, and a exceptional family!","2019-12-29 01:12:25.950277+00"
"WAc-vKX-mZiqvoTmF5LHQg","00pYR20Rbt8c1r86UNlBJg","IuXHrlZKgQPkdthd61aGKA","2","2011-09-04 19:43:57","2011-09-04","19:43:57","The cafe is cute; the back patio is nice, and the decor inside is artsy without being TOO artsy.

The service was really, really slow. I was there with two friends -- we were the only customers in the whole place, and it took us two hours to get through the meal. 30 minutes for a salad, an hour for an appetizer (which came after the salad, because they forgot about it), and then an hour and a half for our dinners.  

They were insistent that we order alcohol, even though none of us drinks. They had three or four alcohol menus, and instead of bringing them all at once, they waited and brought a new one every time we refused an old one. ""Are you sure you don't want something from the bar?"" Yes, for the third time, we're sure. 

We ordered the baked brie as an appetizer, which was very tasty. I had the corn risotto in mushroom caps, which was good, if very bland. I agree with another reviewer - the kitchen should use some salt on these! My side to this dish was some spinach in vinegar. It was cold, pungent, and not at all what I expected from ""sauteed spinach"" on the side. I couldn't even stand the first bite and nearly had to spit it out. My companions seemed to enjoy their black bean burritos. The kitchen was not accommodating to a customization without tomatoes. 

It might be worth it if you're going here for some music and appetizers. I probably won't be going back, though.","2019-12-29 01:12:25.950277+00"
"SAi0zkZ7_zf6sVhhCXGhMw","00pYR20Rbt8c1r86UNlBJg","ME1-IwMQMHkowOxffKUx7w","4","2011-07-30 16:52:36","2011-07-30","16:52:36","Partner and I headed down last night before Harry Potter 7.2!  What a lovely surprise!

Atmosphere is probably the best part of this place.  Very chill euro cafe feel with a hybrid alcohol/espresso bar, tables in the back, a back patio and live jazz DJ.

Food comes in a close second.  2-3 salads at $6-8, couple of apps and 4-5 entrees from $10-15.  Goes without saying it is all vegetarian and they are very careful to ask if you want cheese or anything else in case you are vegan.

Partner had the kale and black eyed peas over grits, her favorite dish to make!  It was a large portion, and fairly tasty.  I had the corn risotto over a portabello cap with sauteed spinach.  Dear chef: don't be afraid to use salt!  Especially if you don't put it on the tables!  Both dishes were tasty and inventive but frankly they were tempting fate with the big ""B"" word!  Just wasn't as satisfying as vegetarian and vegan food can be.  That slight misfire is all that kept me from giving 5 stars.

Oh, and they have a full bar!  The martinis looked good but we went with beer, with about 10 decent selections.  Wine list is a bit less inspired with 4 grocery store by the glass offerings.

Service was excellent, we basically had two servers attending to our every need.  Can be a bit loud!  We'll be back for sure!","2019-12-29 01:12:25.950277+00"
"h_tMtp4_R-xv5lP8JH6iIA","00pYR20Rbt8c1r86UNlBJg","T_GUcbHmVZYYDwdHqQ-wcQ","2","2010-07-20 13:32:03","2010-07-20","13:32:03","This is a great little cafe in a terrible location, but I hope for the best as businesses try to resurrect this area.  I hope it sticks.

The cafe was cute and comfortable.  A small bar area seats about 8-10.  A back patio is great if you happen to be out with your pooch and want to stop in.

For a late dinner, we were presented with a dinner menu that had about 5-8 choices for the day.  Everything on the menu sounded good.  Snooty food....my kind of food.  A dinner salad preceded our meal that was mixed greens with a raspberry vinaigrette with shaved Parmesan.  Not bad.  Not much to it, but not bad.  For my entree, I ordered the portabella mushroom stuffed with corn risotto surrounded with red beet and cabbage slaw.  Sounds amazing, right?  It was bland.  Could have been a fabulous meal, but it was definitely lacking something.  My mom ordered the black bean zucchini burrito.  It looked beautiful, but again, the taste was lacking.

I give them an A for effort.  The cafe is great and the menu presentation is awesome.  The food just needs some more flavor.

We need more places like this in the area.  I really hope they stick around.","2019-12-29 01:12:25.950277+00"
